path,kind,product,colour,width,height,ratio,background,reference,prompt
"/images/home/hero.jpg","home","","","2560","1440","16:9","scene","","Wide editorial campaign photograph for a premium innerwear brand. Calm, light, airy scene in warm off-white and stone tones. CRITICAL: the entire left third of the frame must stay clean, light and empty — large red headline type is overlaid there. Place the subject and all visual interest on the right side. Soft natural daylight. No text, no logos."
"/images/home/campaign-1.jpg","home","","","1152","2048","9:16 (tallest available)","scene","","Tall vertical editorial photograph. Soft cotton innerwear campaign. Model in neutral cream and stone tones against a warm grey backdrop. Full-length centred subject with generous headroom and footroom — the image is cropped hard at the left and right edges, so keep everything important centred. Soft daylight, premium, calm. No text."
"/images/home/campaign-2.jpg","home","","","1152","2048","9:16 (tallest available)","scene","","Tall vertical editorial photograph. Performance innerwear campaign. Cooler palette of sage and teal against pale grey-green. Full-length centred subject with generous headroom and footroom — the image is cropped hard at the left and right edges, so keep everything important centred. Soft daylight, premium, calm. No text."
"/images/home/category-briefs.jpg","home","","","1200","1500","4:5","scene","","Category tile photograph: neatly folded briefs and underwear in neutral tones, styled as a still life on a soft warm grey surface, gentle overhead angle, soft daylight, generous negative space, premium catalogue feel. No text."
"/images/home/category-vests.jpg","home","","","1200","1500","4:5","scene","","Category tile photograph: folded ribbed cotton vests in white and black, styled as a still life on a soft warm grey surface, gentle overhead angle, soft daylight, generous negative space, premium catalogue feel. No text."
"/images/home/category-lounge.jpg","home","","","1200","1500","4:5","scene","","Category tile photograph: a relaxed loungewear set in warm beige, styled as a still life on a soft warm grey surface, gentle overhead angle, soft daylight, generous negative space, premium catalogue feel. No text."
"/images/home/category-socks.jpg","home","","","1200","1500","4:5","scene","","Category tile photograph: rolled and folded cotton socks in navy and white, styled as a still life on a soft warm grey surface, gentle overhead angle, soft daylight, generous negative space, premium catalogue feel. No text."
"/images/products/10-pack-short-cotton-trunks/black/packshot.jpg","packshot","10-PACK SHORT COTTON TRUNKS","Black","1000","1400","5:7","#F5F5F5","","Flat-lay e-commerce product photograph of a single black mens boxer trunks, short-leg fitted underwear with a covered elastic waistband. Centred and filling the frame, on a seamless flat #F5F5F5 light-grey background, soft even lighting, no shadows, no model, no props, no text. Clean catalogue style."
"/images/products/10-pack-short-cotton-trunks/black/01-model.jpg","model","10-PACK SHORT COTTON TRUNKS","Black","1600","2100","3:4","scene","/images/products/10-pack-short-cotton-trunks/black/packshot.jpg","Editorial fashion photograph of a model wearing the black mens boxer trunks, short-leg fitted underwear with a covered elastic waistband from the reference image. Framed from mid-torso, calm neutral studio backdrop in warm light grey, soft daylight, natural relaxed pose, minimal styling. Match the garment in the reference exactly. No text."
"/images/shared/detail-black.jpg","detail","(shared across all products in this colour)","Black","1600","2100","3:4","macro","","Extreme macro photograph of black cotton jersey fabric (approximately #1a1a1a), showing fine rib-knit texture and a single flatlock seam running through the frame. Shallow depth of field, soft diffused light, no text."
"/images/products/5-pack-cotton-short-trunks/black/packshot.jpg","packshot","5-PACK COTTON SHORT TRUNKS","Black","1000","1400","5:7","#F5F5F5","","Flat-lay e-commerce product photograph of a single black mens boxer trunks, short-leg fitted underwear with a covered elastic waistband. Centred and filling the frame, on a seamless flat #F5F5F5 light-grey background, soft even lighting, no shadows, no model, no props, no text. Clean catalogue style."
"/images/products/5-pack-cotton-short-trunks/black/01-model.jpg","model","5-PACK COTTON SHORT TRUNKS","Black","1600","2100","3:4","scene","/images/products/5-pack-cotton-short-trunks/black/packshot.jpg","Editorial fashion photograph of a model wearing the black mens boxer trunks, short-leg fitted underwear with a covered elastic waistband from the reference image. Framed from mid-torso, calm neutral studio backdrop in warm light grey, soft daylight, natural relaxed pose, minimal styling. Match the garment in the reference exactly. No text."
